mean_fit_time,std_fit_time,mean_score_time,std_score_time,param_learning_rate,param_max_depth,param_min_samples_split,param_n_estimators,params,split0_test_score,split1_test_score,split2_test_score,split3_test_score,split4_test_score,split5_test_score,split6_test_score,split7_test_score,split8_test_score,split9_test_score,mean_test_score,std_test_score,rank_test_score,split0_train_score,split1_train_score,split2_train_score,split3_train_score,split4_train_score,split5_train_score,split6_train_score,split7_train_score,split8_train_score,split9_train_score,mean_train_score,std_train_score
0.03403675556182861,0.0017027871719222272,0.0009028196334838867,4.1157158710468866e-05,0.01,2,2,50,"{'learning_rate': 0.01, 'max_depth': 2, 'min_samples_split': 2, 'n_estimators': 50}",0.358546330600901,0.3699646375015321,0.3276827200222385,0.277856084627489,0.20180636350099412,0.43852837676311784,0.44441674448834156,0.1570284660001392,0.32954040759756675,0.3565878938623884,0.3261958024964709,0.08770472682374827,190,0.44219839394295213,0.44068629977170903,0.4569170707937217,0.45711590194241747,0.4576023723445707,0.442671162390058,0.4501036320009698,0.4493211100892287,0.4342201874750098,0.4469511651396354,0.4477787295890273,0.007530132866392464
0.06550319194793701,0.0028163140580463467,0.0009774446487426757,0.00015820300881746614,0.01,2,2,100,"{'learning_rate': 0.01, 'max_depth': 2, 'min_samples_split': 2, 'n_estimators': 100}",0.6029129447598849,0.5725295336092286,0.4691661885885543,0.44711458906132817,0.362198018305546,0.616102032618284,0.59977955290508,0.39339236759195884,0.5894568293715374,0.5605492583194454,0.5213201315130848,0.08972885243360941,178,0.656354951253949,0.6483950970359811,0.6666383371736011,0.6624123619188131,0.6607256096695138,0.6629710133065971,0.6606867686175046,0.6605074409014648,0.6505226642176167,0.6615990423049922,0.6590813286400033,0.0054024716531833016
0.12920646667480468,0.00486426294277062,0.0010570526123046876,5.708989506319352e-05,0.01,2,2,200,"{'learning_rate': 0.01, 'max_depth': 2, 'min_samples_split': 2, 'n_estimators': 200}",0.7652069787424675,0.7691120767507519,0.6027866763676697,0.6479890838419288,0.6374580072703196,0.7987641625026078,0.7558040256217167,0.6019633442863588,0.789386005498968,0.7463242241708803,0.7114794585053669,0.07509536787155702,166,0.8480399683747223,0.8418968717658706,0.8561422333634667,0.8423148384504426,0.8445437447329469,0.8457802359503267,0.8492073537535818,0.8495989044195258,0.8382104422070743,0.8461974099375653,0.8461932002955523,0.00472433667337057
0.18923609256744384,0.0040109240626023685,0.0011632680892944337,6.220042812630621e-05,0.01,2,2,300,"{'learning_rate': 0.01, 'max_depth': 2, 'min_samples_split': 2, 'n_estimators': 300}",0.8426876066693074,0.8509013563821585,0.7128220822960178,0.7595843868409444,0.7319581641257012,0.8712339566869209,0.8166171231061841,0.7139523881956513,0.8620662768793784,0.8223146293737493,0.7984137970556013,0.059460814214780215,158,0.9179289914127441,0.9126148167581386,0.9235135040543778,0.9115865433161031,0.9109145078413855,0.9144368451952553,0.9164794641094863,0.918665895028805,0.9099664170038885,0.9165584441765219,0.9152665428896706,0.0039760630332699035
0.03334839344024658,0.004447333546661775,0.0008595466613769531,9.393981261084516e-05,0.01,2,5,50,"{'learning_rate': 0.01, 'max_depth': 2, 'min_samples_split': 5, 'n_estimators': 50}",0.358546330600901,0.3699646375015321,0.3276827200222385,0.277856084627489,0.20180636350099412,0.43852837676311784,0.44441674448834156,0.1570284660001392,0.32954040759756675,0.3565878938623884,0.3261958024964709,0.08770472682374827,190,0.44219839394295213,0.44068629977170903,0.4569170707937217,0.45711590194241747,0.4576023723445707,0.442671162390058,0.4501036320009698,0.4493211100892287,0.4342201874750098,0.4469511651396354,0.4477787295890273,0.007530132866392464
0.06446595191955566,0.0017499877315064769,0.0009956836700439453,0.00031547219532469236,0.01,2,5,100,"{'learning_rate': 0.01, 'max_depth': 2, 'min_samples_split': 5, 'n_estimators': 100}",0.6029129447598849,0.5725295336092286,0.4691661885885543,0.44711458906132817,0.362198018305546,0.616102032618284,0.59977955290508,0.39339236759195884,0.5894568293715374,0.5605492583194454,0.5213201315130848,0.08972885243360941,178,0.656354951253949,0.6483950970359811,0.6666383371736011,0.6624123619188131,0.6607256096695138,0.6629710133065971,0.6606867686175046,0.6605074409014648,0.6505226642176167,0.6615990423049922,0.6590813286400033,0.0054024716531833016
0.12639870643615722,0.005263866411809675,0.0010410308837890624,0.00013659637732276313,0.01,2,5,200,"{'learning_rate': 0.01, 'max_depth': 2, 'min_samples_split': 5, 'n_estimators': 200}",0.7652069787424675,0.7691120767507519,0.6027866763676697,0.6479890838419288,0.6374580072703196,0.7987641625026078,0.7558040256217167,0.6019633442863588,0.789386005498968,0.7463242241708803,0.7114794585053669,0.07509536787155702,166,0.8480399683747223,0.8418968717658706,0.8561422333634667,0.8423148384504426,0.8445437447329469,0.8457802359503267,0.8492073537535818,0.8495989044195258,0.8382104422070743,0.8461974099375653,0.8461932002955523,0.00472433667337057
0.19652118682861328,0.011424699931831232,0.001224851608276367,0.00014914179646443194,0.01,2,5,300,"{'learning_rate': 0.01, 'max_depth': 2, 'min_samples_split': 5, 'n_estimators': 300}",0.8415831826826022,0.8509013563821585,0.7123258197075928,0.7595846626936185,0.732931610137937,0.8712339566869209,0.8175154676354954,0.7140869359419778,0.8632867373293341,0.8223146293737493,0.7985764358571387,0.05948399001964776,157,0.9178586703151993,0.9126148167581386,0.9234099820574359,0.9115315374663597,0.9106174133258479,0.9144368451952553,0.9164474660877894,0.9186384430664538,0.9099081527062094,0.9165584441765219,0.9152021771155212,0.00399278927805888
0.03427877426147461,0.0012978487041228116,0.0008723020553588867,0.00015779877524250708,0.01,2,10,50,"{'learning_rate': 0.01, 'max_depth': 2, 'min_samples_split': 10, 'n_estimators': 50}",0.358546330600901,0.3699646375015321,0.3276827200222385,0.277856084627489,0.20180636350099412,0.43852837676311784,0.44441674448834156,0.1570284660001392,0.32954040759756675,0.3565878938623884,0.3261958024964709,0.08770472682374827,190,0.44219839394295213,0.44068629977170903,0.4569170707937217,0.45711590194241747,0.4576023723445707,0.442671162390058,0.4501036320009698,0.4493211100892287,0.4342201874750098,0.4469511651396354,0.4477787295890273,0.007530132866392464
0.07255356311798096,0.009180083101855597,0.0009793996810913085,0.0001638452113236068,0.01,2,10,100,"{'learning_rate': 0.01, 'max_depth': 2, 'min_samples_split': 10, 'n_estimators': 100}",0.6029129447598849,0.5725295336092286,0.4691661885885543,0.44711458906132817,0.362198018305546,0.616102032618284,0.59977955290508,0.39339236759195884,0.5894568293715374,0.5605492583194454,0.5213201315130848,0.08972885243360941,178,0.656354951253949,0.6483950970359811,0.6666383371736011,0.6624123619188131,0.6607256096695138,0.6629710133065971,0.6606867686175046,0.6605074409014648,0.6505226642176167,0.6615990423049922,0.6590813286400033,0.0054024716531833016
